atlas_id,created_at,provider,lat,lon,width,height
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.7839,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.71,0.0739,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.6362,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6603,-79.5624,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.7839,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.71,0.0739,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.6362,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.6247,-79.5624,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5891,-79.7839,0.0738,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5891,-79.71,0.0739,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5891,-79.6362,0.0738,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5891,-79.5624,0.0738,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5534,-79.7839,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5534,-79.71,0.0739,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5534,-79.6362,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5534,-79.5624,0.0738,0.0374
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5177,-79.7839,0.0738,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5177,-79.71,0.0739,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5177,-79.6362,0.0738,0.0375
44,2014-04-28 13:14:12,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,43.5177,-79.5624,0.0738,0.0375
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5158,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5229,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5299,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5371,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5442,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5512,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3897,8.5584,0.0074,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5158,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5229,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5299,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5371,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5442,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5512,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3833,8.5584,0.0074,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5158,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5229,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5299,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5371,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5442,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5512,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3769,8.5584,0.0074,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5158,0.0075,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5229,0.0075,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5299,0.0075,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5371,0.0075,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5442,0.0075,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5512,0.0075,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3704,8.5584,0.0074,0.0065
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5158,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5229,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5299,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5371,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5442,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5512,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.364,8.5584,0.0074,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3576,8.5158,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3576,8.5229,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3576,8.5299,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3576,8.5371,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3576,8.5442,0.0075,0.0064
45,2014-03-25 08:16:20,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,47.3576,8.5512,0.0075,0.0064
